id	word	readings	meanings
1332640	秀麗	しゅうれい	graceful;beautiful
1470300	能面	のうめん	noh mask
1365490	診断書	しんだんしょ	medical certificate
1369980	尋問;訊問	じんもん	cross-examination;interrogation;questioning
1605990	呼び出し;呼出し;呼出	よびだし	"call;summons;paging;curtain call
usher who calls the names of wrestlers, sweeps the ring, etc.
telephone number at which a person without a telephone can be reached
box-shaped area containing clean water for rinsing oneself (in an Edo-period bathhouse)
high-ranking prostitute in the Yoshiwara district (Edo period)
unlicensed prostitute in the Fukagawa red-light district (Edo period)"
1259980	見抜く;見ぬく	みぬく	to see through;to see the true nature of something
1491870	不起訴	ふきそ	nonprosecution;nonindictment
1257930	検事	けんじ	public prosecutor
2253720	牢	ろう	prison;jail;gaol
1700660	罪名	ざいめい	name of a crime;charge
1486170	微妙	びみょう	"delicate;subtle;sensitive
difficult;delicate (situation);complicated
doubtful;questionable;dicey;tricky"
1586840	或;或る	ある	a certain ...;some ...
1232870	許す;赦す;聴す	ゆるす	"to permit;to allow;to approve;to tolerate
to exempt (from fine);to excuse (from);to pardon;to forgive;to release;to let off
to confide in
to give up;to yield"
1391090	洗練;洗煉;洗錬	せんれん	polish;refinement
2114830	身だしなみ;身嗜み	みだしなみ	personal appearance;personal grooming
1370000	甚だ	はなはだ	very;greatly;exceedingly
1244500	苦笑	くしょう	bitter smile;wry smile;strained laugh;sarcastic laugh
1158810	衣服	いふく	clothes
1197120	画家	がか	painter;artist
1565670	囁く;私語く	ささやく	"to whisper;to murmur
to rumor;to rumour"
1298750	察知	さっち	sense;infer
1477540	発情	はつじょう	sexual excitement;capable of breeding;having the urge to breed
1454010	胴	どう	"trunk;torso;body;abdomen;waist
plastron (in kendo);touching the plastron (kimari-te in kendo)
frame (of a drum, etc.);sound box (of a shamisen, etc.);hull (of a ship)"
2038050	長いこと;長い事;永いこと;永い事	ながいこと	for a long time
1565270	啜る	すする	to sip;to slurp
1280770	紅茶	こうちゃ	black tea
1281890	行儀	ぎょうぎ	manners;behavior;behaviour
1340830	述懐	じゅっかい	recollection
1005820	しんみり	しんみり	solemn;serious;sad;heart-to-heart
1383770	切ない	せつない	"painful;heartrending;trying
oppressive;suffocating;miserable"
1421490	地味	じみ	plain;simple;subdued;sober
1471970	俳優	はいゆう	actor;actress;player;performer
1225510	疑う	うたがう	to doubt;to distrust;to be suspicious of;to suspect
2644340	てんから	てんから	"from the start
not at all"
2556440	およしなさい	およしなさい	please stop
1321630	芝居	しばい	play;drama
1381210	誓う;盟う	ちかう	to swear;to vow;to take an oath;to pledge
1609380	応ずる	おうずる	"to answer;to respond;to meet
to satisfy;to accept"
1415940	濁り	にごり	"muddiness;murkiness;lack of clarity
impurity
Japanese voiced consonant mark
unrefined sake"
1453900	瞳;眸	ひとみ	"pupil (of eye)
eye"
1239160	凝視	ぎょうし	stare;gaze;fixation
1200740	改めて;新ためて	あらためて	"another time;again;over again;once again;anew
formally;especially;intentionally;deliberately"
1002990	揶揄い	からかい	banter;teasing;persiflage
2164900	たんと	たんと	"(poss. Kansai dialect) many;much;a great amount
excessive amount"
1363740	真似	まね;マネ	"imitating;copying;mimicry
behavior;behaviour;action;conduct"
1211350	堪忍;勘忍	かんにん	"patience;patient endurance;forbearance;tolerance
forgiveness;pardon"
1611910	無心	むしん	"innocence
insentient (i.e. plants, inanimate objects, etc.)
free from obstructive thoughts
to pester someone (for cash, etc.)"
1632470	ぴょこんと;ぴょこん	ぴょこんと;ぴょこん	quickly, in a bouncing way (e.g. for a bow);action of quickly bowing or lowering one's head
2573240	蹌踉	そうろう	tottering;staggering;reeling
1157130	為す;成す	なす	"to build up;to establish
to form;to become (a state)
to accomplish;to achieve;to succeed in
to change into
to do;to perform
to intend to;to attempt;to try"
1605900	翌々日;翌翌日	よくよくじつ	two days later;next day but one
1545820	様子;容子	ようす	"state;state of affairs;situation;circumstances
appearance;look;aspect
sign;indication"
1574310	頷く;肯く;首肯く;点頭く	うなずく;うなづく	to nod;to bow one's head in assent;to agree
1363650	真剣;真険	しんけん	"seriousness;earnestness
real sword (as opposed to unsharpened or wooden practice weapon)"
1269130	呉れる	くれる	to give;to let one have;to do for one;to be given
1156560	意志	いし	will;volition;intention;intent;determination
1563570	俯く;うつ向く;俯向く	うつむく	to hang one's head in shame;to look downward;to cast one's eyes down
1565120	呟く	つぶやく	"to mutter;to murmur;to grumble
to tweet (Twitter)"
1254220	決意	けつい	decision;determination;resolution
1254340	決心	けっしん	determination;resolution
1169900	飲酒	いんしゅ	drinking alcohol (sake)
